0.849,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.849,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.852,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.848,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.048,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.848,0.049,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.851,0.05,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
0.85,0.051,EDGE-1,imagenet_image_classification,raspi-1,09-11-2022 11:00:30
