EDGE-1,imagenet_image_classification,raspi-1,tabby,0.018373966217041016,0.2557893991470337,0.6506415778251082,0.30128315565021635,1.0,0.849,0.052,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.01373291015625,0.46210578083992004,0.7718269299058353,0.5436538598116707,1.0,0.85,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.013833761215209961,0.42325276136398315,0.7486796482749607,0.49735929654992145,1.0,0.851,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Persian cat,0.01448202133178711,0.35858529806137085,0.7114300106493932,0.4228600212987864,1.0,0.848,0.049,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Persian cat,0.013975858688354492,0.3713911771774292,0.718980646920654,0.43796129384130805,1.0,0.848,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.012455224990844727,0.7314366698265076,0.9307636453630787,0.8615272907261573,1.0,0.849,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.013499259948730469,0.49329495429992676,0.7898325230904388,0.5796650461808776,1.0,0.851,0.049,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.012910127639770508,0.7754032611846924,0.9561195654027602,0.9122391308055204,1.0,0.85,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Angora,0.012403249740600586,0.35274699330329895,0.7077426344542397,0.41548526890847937,1.0,0.849,0.051,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Egyptian cat,0.01252603530883789,0.24006229639053345,0.6408816293371675,0.28176325867433505,1.0,0.852,0.049,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Egyptian cat,0.012758016586303711,0.6894548535346985,0.9069981425824667,0.8139962851649333,1.0,0.847,0.049,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Newfoundland,0.015339136123657227,0.23234522342681885,0.6368346427719781,0.27366928554395625,1.0,0.849,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,toy terrier,0.01310276985168457,0.37174734473228455,0.7184179463761954,0.43683589275239076,1.0,0.851,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,German shepherd,0.014036893844604492,0.2819865047931671,0.6660697908086968,0.33213958161739354,1.0,0.849,0.049,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Persian cat,0.014210700988769531,0.8950071930885315,1.0,1.0,1.0,0.85,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,red fox,0.013264179229736328,0.26480233669281006,0.6559495504669082,0.31189910093381634,1.0,0.849,0.05,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,tabby,0.013756275177001953,0.5544633865356445,0.8265390968996729,0.6530781937993457,1.0,0.849,0.051,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,Egyptian cat,0.012552976608276367,0.323212206363678,0.6901248272727518,0.3802496545455035,1.0,0.85,0.051,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,skunk,0.012545108795166016,0.1838083118200302,0.6079954828554819,0.21599096571096382,1.0,0.851,0.048,28-02-2023 13:07:39
EDGE-1,imagenet_image_classification,raspi-1,toy terrier,0.011971235275268555,0.2209402471780777,0.6299648512812221,0.25992970256244435,1.0,0.85,0.05,28-02-2023 13:07:39
